,District,Crop,Season,Stage,Attribute,Govt_Sowing_Window,Govt_Harvest_Window,Recommended_Task_Window,Optimum_Range,Slightly_Low_Range,Slightly_Low_Risk,Slightly_Low_Action,Very_Low_Range,Very_Low_Risk,Very_Low_Action,Slightly_High_Range,Slightly_High_Risk,Slightly_High_Action,Very_High_Range,Very_High_Risk,Very_High_Action,Reference_Source,Stage_Cost_INR_per_acre,Cumulative_Cost_INR_per_acre,Min_Value,Max_Value,Unit
8,Bagalkot,Bajra,Kharif,Flowering & Grain Formation,Rainfall,1 Jun – 1 Jul,23 Sep – 23 Oct,6 Aug – 11 Sep,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,1800,5300,30,50,mm/week
9,Bagalkot,Bajra,Kharif,Flowering & Grain Formation,Humidity,1 Jun – 1 Jul,23 Sep – 23 Oct,6 Aug – 11 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1800,5300,60,80,
10,Bagalkot,Bajra,Kharif,Maturity & Harvesting,Temperature,1 Jun – 1 Jul,23 Sep – 23 Oct,12 Sep – 23 Oct,20-28 °C,28–30 °C,Reduced grain weight,Maintain moisture,<18 °C,Poor grain filling,Avoid stress,30–33 °C,Chalky grains,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,1500,6800,20,28,°C
11,Bagalkot,Bajra,Kharif,Maturity & Harvesting,Rainfall,1 Jun – 1 Jul,23 Sep – 23 Oct,12 Sep – 23 Oct,20-40 mm/week,40–50 mm,Grain spoilage,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Yield loss,Field drainage,FAO,1500,6800,20,40,mm/week
12,Bagalkot,Bajra,Kharif,Maturity & Harvesting,Humidity,1 Jun – 1 Jul,23 Sep – 23 Oct,12 Sep – 23 Oct,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1500,6800,60,80,
13,Bagalkot,Black Gram,Kharif,Germination & Establishment,Temperature,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,1600,20,30,°C
13,Bagalkot,Black Gram,Kharif,Germination & Establishment,Soil Nitrogen,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,1600,100,150,kg/ha
13,Bagalkot,Black Gram,Kharif,Germination & Establishment,Soil Phosphorus,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,1600,50,75,kg/ha
13,Bagalkot,Black Gram,Kharif,Germination & Establishment,Soil Potassium,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,1600,40,60,kg/ha
14,Bagalkot,Black Gram,Kharif,Germination & Establishment,Rainfall,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1600,1600,20,40,mm/week
15,Bagalkot,Black Gram,Kharif,Germination & Establishment,Humidity,15 Jun – 15 Jul,15 Oct – 15 Nov,15 Jun – 7 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1600,1600,60,80,
16,Bagalkot,Black Gram,Kharif,Vegetative Growth,Temperature,15 Jun – 15 Jul,15 Oct – 15 Nov,8 Jul – 22 Aug,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2200,3800,22,32,°C
17,Bagalkot,Black Gram,Kharif,Vegetative Growth,Rainfall,15 Jun – 15 Jul,15 Oct – 15 Nov,8 Jul – 22 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2200,3800,30,60,mm/week
18,Bagalkot,Black Gram,Kharif,Vegetative Growth,Humidity,15 Jun – 15 Jul,15 Oct – 15 Nov,8 Jul – 22 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2200,3800,60,80,
19,Bagalkot,Black Gram,Kharif,Flowering & Pod Formation,Temperature,15 Jun – 15 Jul,15 Oct – 15 Nov,23 Aug – 30 Sep,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,6200,21,30,°C
20,Bagalkot,Black Gram,Kharif,Flowering & Pod Formation,Rainfall,15 Jun – 15 Jul,15 Oct – 15 Nov,23 Aug – 30 Sep,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,6200,30,50,mm/week
21,Bagalkot,Black Gram,Kharif,Flowering & Pod Formation,Humidity,15 Jun – 15 Jul,15 Oct – 15 Nov,23 Aug – 30 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,6200,60,80,
22,Bagalkot,Black Gram,Kharif,Pod Development & Maturity,Temperature,15 Jun – 15 Jul,15 Oct – 15 Nov,1 Oct – 15 Nov,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,8200,20,28,°C
23,Bagalkot,Black Gram,Kharif,Pod Development & Maturity,Rainfall,15 Jun – 15 Jul,15 Oct – 15 Nov,1 Oct – 15 Nov,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,8200,20,40,mm/week
24,Bagalkot,Black Gram,Kharif,Pod Development & Maturity,Humidity,15 Jun – 15 Jul,15 Oct – 15 Nov,1 Oct – 15 Nov,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,8200,60,80,
25,Bagalkot,Green Gram,Kharif,Germination & Establishment,Temperature,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1600,9800,20,30,°C
25,Bagalkot,Green Gram,Kharif,Germination & Establishment,Soil Nitrogen,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,9800,100,150,kg/ha
25,Bagalkot,Green Gram,Kharif,Germination & Establishment,Soil Phosphorus,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,9800,50,75,kg/ha
25,Bagalkot,Green Gram,Kharif,Germination & Establishment,Soil Potassium,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1600,9800,40,60,kg/ha
26,Bagalkot,Green Gram,Kharif,Germination & Establishment,Rainfall,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1600,9800,20,40,mm/week
27,Bagalkot,Green Gram,Kharif,Germination & Establishment,Humidity,30 May – 29 Jun,6 Aug – 5 Sep,30 May – 13 Jun,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,1600,9800,60,80,
28,Bagalkot,Green Gram,Kharif,Vegetative Growth,Temperature,30 May – 29 Jun,6 Aug – 5 Sep,14 Jun – 13 Jul,22-32 °C,20–22 °C,Slow growth,Maintain moisture,<20 °C,Stunted plants,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2200,12000,22,32,°C
29,Bagalkot,Green Gram,Kharif,Vegetative Growth,Rainfall,30 May – 29 Jun,6 Aug – 5 Sep,14 Jun – 13 Jul,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2200,12000,30,60,mm/week
30,Bagalkot,Green Gram,Kharif,Vegetative Growth,Humidity,30 May – 29 Jun,6 Aug – 5 Sep,14 Jun – 13 Jul,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2200,12000,60,80,
31,Bagalkot,Green Gram,Kharif,Flowering & Pod Formation,Temperature,30 May – 29 Jun,6 Aug – 5 Sep,14 Jul – 7 Aug,21-30 °C,18–21 °C,Flower drop,Maintain moisture,<18 °C,Poor pod set,Avoid stress,30–33 °C,Reduced pollination,Mulching,>33 °C,Sterility,Emergency irrigation,ICRISAT,2400,14400,21,30,°C
32,Bagalkot,Green Gram,Kharif,Flowering & Pod Formation,Rainfall,30 May – 29 Jun,6 Aug – 5 Sep,14 Jul – 7 Aug,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Flower abortion,Immediate irrigation,50–70 mm,Lodging,Drain excess water,>70 mm,Flower damage,Emergency drainage,FAO,2400,14400,30,50,mm/week
33,Bagalkot,Green Gram,Kharif,Flowering & Pod Formation,Humidity,30 May – 29 Jun,6 Aug – 5 Sep,14 Jul – 7 Aug,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2400,14400,60,80,
34,Bagalkot,Green Gram,Kharif,Pod Development & Maturity,Temperature,30 May – 29 Jun,6 Aug – 5 Sep,8 Aug – 5 Sep,20-28 °C,28–30 °C,Reduced seed filling,Maintain moisture,<18 °C,Poor seed development,Avoid stress,30–33 °C,Shriveled seeds,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2000,16400,20,28,°C
35,Bagalkot,Green Gram,Kharif,Pod Development & Maturity,Rainfall,30 May – 29 Jun,6 Aug – 5 Sep,8 Aug – 5 Sep,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2000,16400,20,40,mm/week
36,Bagalkot,Green Gram,Kharif,Pod Development & Maturity,Humidity,30 May – 29 Jun,6 Aug – 5 Sep,8 Aug – 5 Sep,60-80 %,50–60 %,Reduced transpiration efficiency,Maintain soil moisture,<50 %,Physiological stress,Avoid moisture stress,80–90 %,Disease-favorable microclimate,Improve field aeration,>90 %,Fungal disease outbreak,"Drain excess moisture, monitor disease",ICAR / FAO,2000,16400,60,80,
37,Bagalkot,Groundnut,Kharif,Germination & Establishment,Temperature,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,20-30 °C,18–20 °C,Delayed germination,Maintain soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICRISAT, ICAR",1800,1800,20,30,°C
37,Bagalkot,Groundnut,Kharif,Germination & Establishment,Soil Nitrogen,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,25-30 kg/ha,19–24 kg/ha,"Pale green leaves, poor nodulation",Check Rhizobium inoculation,< 18 kg/ha,"Severe chlorosis, stunted growth",Small starter dose of N,31–37 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 38 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1800,1800,25,30,kg/ha
37,Bagalkot,Groundnut,Kharif,Germination & Establishment,Soil Phosphorus,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,50-75 kg/ha,38–49 kg/ha,"Dark green dull leaves, poor pod filling",Apply SSP (Single Super Phosphate),< 37 kg/ha,"Restricted root growth, empty pods (pops)",Foliar spray of DAP,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1800,1800,50,75,kg/ha
37,Bagalkot,Groundnut,Kharif,Germination & Establishment,Soil Potassium,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,25-30 kg/ha,19–24 kg/ha,Leaf margin scorching,Apply Gypsum (for Ca/S) and K,< 18 kg/ha,Poor kernel development,Potash application,31–37 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 38 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1800,1800,25,30,kg/ha
38,Bagalkot,Groundnut,Kharif,Germination & Establishment,Rainfall,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,25-50 mm/week,15–25 mm,Moisture stress,Supplemental irrigation,<15 mm,Seed failure,Immediate irrigation,50–70 mm,Seed rot,Improve drainage,>70 mm,Waterlogging,Ensure drainage,"FAO, ICRISAT",1800,1800,25,50,mm/week
39,Bagalkot,Groundnut,Kharif,Germination & Establishment,Humidity,8 Jun – 8 Jul,9 Oct – 8 Nov,8 Jun – 30 Jun,60-75 %,75–80 %,Fungal disease risk,Improve aeration,>80 %,Severe seedling disease,Reduce moisture,80–85 %,Seed rot / Damping off,Ensure drainage,>85 %,Seedling mortality,Improve drainage,ICRISAT,1800,1800,60,75,
40,Bagalkot,Groundnut,Kharif,Vegetative Growth,Temperature,8 Jun – 8 Jul,9 Oct – 8 Nov,1 Jul – 15 Aug,22-32 °C,20–22 °C,Slow vegetative growth,Maintain moisture,<20 °C,Stunted growth,Avoid stress,32–35 °C,Leaf wilting,Mulching,>35 °C,Heat stress,Light irrigation,ICRISAT,2500,4300,22,32,°C
41,Bagalkot,Groundnut,Kharif,Vegetative Growth,Rainfall,8 Jun – 8 Jul,9 Oct – 8 Nov,1 Jul – 15 Aug,30-60 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Growth reduction,Immediate irrigation,60–80 mm,Lodging risk,Drain excess water,>80 mm,Waterlogging,Field drainage,FAO,2500,4300,30,60,mm/week
42,Bagalkot,Groundnut,Kharif,Vegetative Growth,Humidity,8 Jun – 8 Jul,9 Oct – 8 Nov,1 Jul – 15 Aug,60-70 %,70–75 %,Leaf disease risk,Improve airflow,>75 %,Disease outbreak,Monitor crop,80–85 %,Leaf spot (Tikka) risk,Monitor for leaf spots,>85 %,Rust / Stem rot outbreak,Apply fungicide,ICAR,2500,4300,60,70,
43,Bagalkot,Groundnut,Kharif,Flowering & Pegging,Temperature,8 Jun – 8 Jul,9 Oct – 8 Nov,16 Aug – 23 Sep,22-30 °C,20–22 °C,Flower drop,Maintain moisture,<20 °C,Poor peg formation,Avoid stress,30–33 °C,Reduced pegging,Mulching,>33 °C,Peg abortion,Irrigate immediately,ICRISAT,3000,7300,22,30,°C
44,Bagalkot,Groundnut,Kharif,Flowering & Pegging,Rainfall,8 Jun – 8 Jul,9 Oct – 8 Nov,16 Aug – 23 Sep,30-50 mm/week,20–30 mm,Moisture stress,Irrigation,<20 mm,Poor peg penetration,Immediate irrigation,50–70 mm,Peg damage,Drain excess water,>70 mm,Waterlogging,Emergency drainage,FAO,3000,7300,30,50,mm/week
45,Bagalkot,Groundnut,Kharif,Flowering & Pegging,Humidity,8 Jun – 8 Jul,9 Oct – 8 Nov,16 Aug – 23 Sep,60-70 %,70–75 %,Disease risk,Improve aeration,>75 %,Fungal infection,Monitor crop,80–85 %,Leaf spot (Tikka) risk,Monitor for leaf spots,>85 %,Rust / Stem rot outbreak,Apply fungicide,ICRISAT,3000,7300,60,70,
46,Bagalkot,Groundnut,Kharif,Pod Development & Maturity,Temperature,8 Jun – 8 Jul,9 Oct – 8 Nov,24 Sep – 8 Nov,20-28 °C,28–30 °C,Reduced pod filling,Maintain moisture,<18 °C,Poor pod development,Avoid stress,30–33 °C,Small pods,Light irrigation,>33 °C,Yield loss,Irrigate lightly,ICAR,2200,9500,20,28,°C
47,Bagalkot,Groundnut,Kharif,Pod Development & Maturity,Rainfall,8 Jun – 8 Jul,9 Oct – 8 Nov,24 Sep – 8 Nov,20-40 mm/week,40–50 mm,Pod rot risk,Drain field,<20 mm,Moisture stress,Light irrigation,50–70 mm,Harvest delay,Drain excess water,>70 mm,Pod rot,Field drainage,FAO,2200,9500,20,40,mm/week
48,Bagalkot,Groundnut,Kharif,Pod Development & Maturity,Humidity,8 Jun – 8 Jul,9 Oct – 8 Nov,24 Sep – 8 Nov,55-65 %,65–70 %,Mold risk,Harvest timely,>70 %,Pod mold,Early harvest,75–80 %,Aflatoxin contamination risk,Harvest at correct maturity,>80 %,Pod sprouting / Rot,Harvest and dry quickly,ICRISAT,2200,9500,55,65,
49,Bagalkot,Jowar,Kharif,Germination & Establishment,Temperature,15 Jun – 15 Jul,15 Sep – 15 Oct,15 Jun – 3 Jul,20-30 °C,18–20 °C,Slow germination,Ensure soil moisture,<18 °C,Poor emergence,Delay sowing,30–33 °C,Uneven emergence,Light irrigation,>33 °C,Seedling mortality,Avoid sowing during heat,"ICAR, FAO",1500,8300,20,30,°C
49,Bagalkot,Jowar,Kharif,Germination & Establishment,Soil Nitrogen,15 Jun – 15 Jul,15 Sep – 15 Oct,15 Jun – 3 Jul,100-150 kg/ha,76–99 kg/ha,"Reduced vigor, chlorosis",Apply Nitrogen fertilizer,< 75 kg/ha,Stunted growth,Immediate fertilization,151–187 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 188 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,8300,100,150,kg/ha
49,Bagalkot,Jowar,Kharif,Germination & Establishment,Soil Phosphorus,15 Jun – 15 Jul,15 Sep – 15 Oct,15 Jun – 3 Jul,50-75 kg/ha,38–49 kg/ha,"Poor rooting, delayed maturity",Apply Phosphorus source,< 37 kg/ha,Purple leaves,Apply P fertilizer,76–93 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 94 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,8300,50,75,kg/ha
49,Bagalkot,Jowar,Kharif,Germination & Establishment,Soil Potassium,15 Jun – 15 Jul,15 Sep – 15 Oct,15 Jun – 3 Jul,40-60 kg/ha,31–39 kg/ha,"Leaf scorching, pest issues",Apply Potash,< 30 kg/ha,Poor quality produce,Apply K fertilizer,61–75 kg/ha,"Nutrient antagonism, vegetative excess",Reduce fertilizer application,> 76 kg/ha,"Toxicity, lodging, pest susceptibility","Stop application, flush field",UAS Dharwad POP / ICAR,1500,8300,40,60,kg/ha
50,Bagalkot,Jowar,Kharif,Germination & Establishment,Rainfall,15 Jun – 15 Jul,15 Sep – 15 Oct,15 Jun – 3 Jul,20-40 mm/week,10–20 mm,Moisture stress,Supplemental irrigation,<10 mm,Seed failure,Immediate irrigation,40–60 mm,Seed rot,Improve drainage,>60 mm,Waterlogging,Drain excess water,FAO,1500,8300,20,40,mm/week
